model,experiment,subject,accuracy,precision,recall,f1
rf,chest_emg,S13,0.6172839506172839,0.4,0.5833333333333334,0.4745762711864407
rf,chest_emg,S14,0.7215189873417721,0.5555555555555556,0.4166666666666667,0.47619047619047616
rf,chest_emg,S15,0.7375,1.0,0.16,0.27586206896551724
rf,chest_emg,S16,0.31645569620253167,0.03125,0.041666666666666664,0.03571428571428571
rf,chest_emg,S17,0.5432098765432098,0.0,0.0,0.0
rf,chest_heart,S2,0.7142857142857143,0.5555555555555556,0.21739130434782608,0.3125
rf,chest_heart,S3,0.8607594936708861,1.0,0.5416666666666666,0.7027027027027027
rf,chest_heart,S4,0.8311688311688312,1.0,0.43478260869565216,0.6060606060606061
rf,chest_heart,S5,0.7051282051282052,0.0,0.0,0.0
rf,chest_heart,S6,0.8354430379746836,1.0,0.4583333333333333,0.6285714285714286
rf,chest_heart,S7,0.8846153846153846,1.0,0.6086956521739131,0.7567567567567568
rf,chest_heart,S8,0.9,0.8695652173913043,0.8,0.8333333333333334
rf,chest_heart,S9,0.8076923076923077,0.7857142857142857,0.4782608695652174,0.5945945945945946
rf,chest_heart,S10,0.4691358024691358,0.37681159420289856,1.0,0.5473684210526316
rf,chest_heart,S11,0.8292682926829268,0.6410256410256411,1.0,0.78125
rf,chest_heart,S13,0.7530864197530864,0.5526315789473685,0.875,0.6774193548387096
rf,chest_heart,S14,0.9367088607594937,0.8275862068965517,1.0,0.9056603773584906
rf,chest_heart,S15,0.8625,0.7692307692307693,0.8,0.7843137254901961
rf,chest_heart,S16,0.9493670886075949,0.8571428571428571,1.0,0.9230769230769231
rf,chest_heart,S17,0.9012345679012346,0.7647058823529411,1.0,0.8666666666666667
rf,chest_statistical,S2,0.7012987012987013,0.5,0.043478260869565216,0.08
rf,chest_statistical,S3,0.8860759493670886,0.8,0.8333333333333334,0.8163265306122449
rf,chest_statistical,S4,0.7012987012987013,0.0,0.0,0.0
rf,chest_statistical,S5,0.9743589743589743,1.0,0.9130434782608695,0.9545454545454546
rf,chest_statistical,S6,0.9620253164556962,1.0,0.875,0.9333333333333333
rf,chest_statistical,S7,0.9487179487179487,0.8518518518518519,1.0,0.92
rf,chest_statistical,S8,0.975,1.0,0.92,0.9583333333333334
rf,chest_statistical,S9,0.8717948717948718,0.8421052631578947,0.6956521739130435,0.7619047619047619
rf,chest_statistical,S10,0.6790123456790124,0.0,0.0,0.0
rf,chest_statistical,S11,0.9146341463414634,0.8,0.96,0.8727272727272727
rf,chest_statistical,S13,0.7160493827160493,0.6,0.125,0.20689655172413793
