model,experiment,subject,accuracy,precision,recall,f1
rf,wrist_statistical,S2,0.8888888888888888,1.0,0.6956521739130435,0.8205128205128205
rf,wrist_statistical,S3,0.640625,0.5106382978723404,1.0,0.676056338028169
rf,wrist_statistical,S4,1.0,1.0,1.0,1.0
rf,wrist_statistical,S5,0.796875,1.0,0.43478260869565216,0.6060606060606061
rf,wrist_statistical,S6,0.7692307692307693,0.6451612903225806,0.8333333333333334,0.7272727272727273
rf,wrist_statistical,S7,0.765625,0.6052631578947368,1.0,0.7540983606557377
rf,wrist_statistical,S8,0.8787878787878788,1.0,0.68,0.8095238095238095
rf,wrist_statistical,S9,0.921875,1.0,0.782608695652174,0.8780487804878049
rf,wrist_statistical,S10,0.9402985074626866,1.0,0.8461538461538461,0.9166666666666666
rf,wrist_statistical,S11,0.7611940298507462,1.0,0.36,0.5294117647058824
rf,wrist_statistical,S13,0.9242424242424242,1.0,0.7916666666666666,0.8837209302325582
rf,wrist_statistical,S14,0.65625,1.0,0.08333333333333333,0.15384615384615385
rf,wrist_statistical,S15,0.9242424242424242,1.0,0.8,0.8888888888888888
rf,wrist_statistical,S16,1.0,1.0,1.0,1.0
rf,wrist_statistical,S17,0.582089552238806,0.4722222222222222,0.6538461538461539,0.5483870967741935
rf,chest_all,S2,0.7619047619047619,0.8333333333333334,0.43478260869565216,0.5714285714285714
rf,chest_all,S3,0.890625,1.0,0.7083333333333334,0.8292682926829268
rf,chest_all,S4,0.7142857142857143,1.0,0.21739130434782608,0.35714285714285715
rf,chest_all,S5,0.921875,0.8214285714285714,1.0,0.9019607843137255
rf,chest_all,S6,1.0,1.0,1.0,1.0
rf,chest_all,S7,0.84375,0.696969696969697,1.0,0.8214285714285714
rf,chest_all,S8,0.9848484848484849,0.9615384615384616,1.0,0.9803921568627451
rf,chest_all,S9,0.875,0.8947368421052632,0.7391304347826086,0.8095238095238095
rf,chest_all,S10,0.6716417910447762,1.0,0.15384615384615385,0.26666666666666666
rf,chest_all,S11,0.9402985074626866,0.8620689655172413,1.0,0.9259259259259259
rf,chest_all,S13,0.9848484848484849,1.0,0.9583333333333334,0.9787234042553191
rf,chest_all,S14,0.953125,0.8888888888888888,1.0,0.9411764705882353
rf,chest_all,S15,0.8484848484848485,1.0,0.6,0.75
rf,chest_all,S16,1.0,1.0,1.0,1.0
rf,chest_all,S17,0.9104477611940298,1.0,0.7692307692307693,0.8695652173913043
rf,wrist_all,S2,0.9206349206349206,1.0,0.782608695652174,0.8780487804878049
rf,wrist_all,S3,0.8125,0.6666666666666666,1.0,0.8
rf,wrist_all,S4,1.0,1.0,1.0,1.0
rf,wrist_all,S5,0.875,0.8947368421052632,0.7391304347826086,0.8095238095238095
rf,wrist_all,S6,0.8461538461538461,0.8888888888888888,0.6666666666666666,0.7619047619047619
rf,wrist_all,S7,0.8125,0.6571428571428571,1.0,0.7931034482758621
rf,wrist_all,S8,0.9545454545454546,1.0,0.88,0.9361702127659575
rf,wrist_all,S9,0.90625,1.0,0.7391304347826086,0.85
rf,wrist_all,S10,0.9850746268656716,1.0,0.9615384615384616,0.9803921568627451
